wavelength,Neat Wt,Ferrous Wt,Neat Wt,Ferrous Wt
640.5,0.05265215,0.047086067,0.26326075,0.235430333
640,0.0527935,0.047170633,0.2639675,0.235853167
639.5,0.0529273,0.047256267,0.2646365,0.236281333
639,0.05305885,0.0473437,0.26529425,0.2367185
638.5,0.05319375,0.0474315,0.26596875,0.2371575
638,0.05330455,0.0475292,0.26652275,0.237646
637.5,0.05341425,0.0476172,0.26707125,0.238086
637,0.05351155,0.0477167,0.26755775,0.2385835
636.5,0.0536047,0.047810333,0.2680235,0.239051667
636,0.0536916,0.0479087,0.268458,0.2395435
635.5,0.0537783,0.048007633,0.2688915,0.240038167
635,0.05385225,0.048103433,0.26926125,0.240517167
634.5,0.05391065,0.048207333,0.26955325,0.241036667
634,0.0539777,0.048295033,0.2698885,0.241475167
633.5,0.0540226,0.048393333,0.270113,0.241966667
633,0.05406915,0.048482667,0.27034575,0.242413333
632.5,0.0541131,0.0485738,0.2705655,0.242869
632,0.0541506,0.048657733,0.270753,0.243288667
631.5,0.0541722,0.048747433,0.270861,0.243737167
631,0.05419065,0.048836733,0.27095325,0.244183667
630.5,0.0542114,0.048927367,0.271057,0.244636833
630,0.05421445,0.049012133,0.27107225,0.245060667
629.5,0.0542336,0.049096833,0.271168,0.245484167
629,0.05425335,0.049194567,0.27126675,0.245972833
628.5,0.05425715,0.049286,0.27128575,0.24643
628,0.0542476,0.0493736,0.271238,0.246868
627.5,0.05424405,0.0494526,0.27122025,0.247263
627,0.0542367,0.049542567,0.2711835,0.247712833
626.5,0.0542165,0.049625333,0.2710825,0.248126667
626,0.0542053,0.049720967,0.2710265,0.248604833
625.5,0.0541714,0.0498085,0.270857,0.2490425
625,0.05414405,0.049894233,0.27072025,0.249471167
624.5,0.05410835,0.0499676,0.27054175,0.249838
624,0.0540813,0.0500546,0.2704065,0.250273
623.5,0.0540513,0.050141267,0.2702565,0.250706333
623,0.05401875,0.050216367,0.27009375,0.251081833
622.5,0.05398975,0.050293267,0.26994875,0.251466333
622,0.05395415,0.0503665,0.26977075,0.2518325
621.5,0.05392565,0.050441,0.26962825,0.252205
621,0.05389605,0.050513567,0.26948025,0.252567833
620.5,0.0538593,0.050597933,0.2692965,0.252989667
620,0.05381895,0.0506747,0.26909475,0.2533735
619.5,0.05377915,0.050754967,0.26889575,0.253774833
619,0.053732,0.0508385,0.26866,0.2541925
618.5,0.05368555,0.050922067,0.26842775,0.254610333
618,0.05364275,0.0510095,0.26821375,0.2550475
617.5,0.05359025,0.0511017,0.26795125,0.2555085
617,0.0535317,0.0511953,0.2676585,0.2559765
616.5,0.05349045,0.051294,0.26745225,0.25647
616,0.053456,0.051396067,0.26728,0.256980333
615.5,0.0534182,0.0514941,0.267091,0.2574705
615,0.0533845,0.051600533,0.2669225,0.258002667
614.5,0.05334315,0.0517122,0.26671575,0.258561
614,0.05330865,0.051828167,0.26654325,0.259140833
613.5,0.0532854,0.051955833,0.266427,0.259779167
613,0.05326705,0.052091567,0.26633525,0.260457833
612.5,0.0532428,0.052235,0.266214,0.261175
612,0.05321405,0.0523915,0.26607025,0.2619575
611.5,0.05318965,0.052558633,0.26594825,0.262793167
611,0.05317355,0.0527252,0.26586775,0.263626
610.5,0.05316365,0.052911267,0.26581825,0.264556333
610,0.0531537,0.053105833,0.2657685,0.265529167
609.5,0.05314915,0.053311267,0.26574575,0.266556333
609,0.053141,0.0535149,0.265705,0.2675745
608.5,0.0531336,0.0537412,0.265668,0.268706
608,0.05314465,0.053980467,0.26572325,0.269902333
607.5,0.05315025,0.0542337,0.26575125,0.2711685
607,0.0531579,0.054504333,0.2657895,0.272521667
606.5,0.05317805,0.054778767,0.26589025,0.273893833
606,0.05319155,0.055070667,0.26595775,0.275353333
605.5,0.0531962,0.055369067,0.265981,0.276845333
605,0.05321455,0.055687467,0.26607275,0.278437333
604.5,0.05324225,0.056012033,0.26621125,0.280060167
604,0.0532679,0.056351733,0.2663395,0.281758667
603.5,0.05329265,0.056701233,0.26646325,0.283506167
603,0.0533201,0.057061967,0.2666005,0.285309833
602.5,0.0533463,0.057434867,0.2667315,0.287174333
602,0.05337635,0.057813367,0.26688175,0.289066833
601.5,0.0534188,0.0582088,0.267094,0.291044
601,0.05345395,0.058607267,0.26726975,0.293036333
600.5,0.05349125,0.059008233,0.26745625,0.295041167
600,0.05352795,0.0594142,0.26763975,0.297071
599.5,0.0535573,0.059824767,0.2677865,0.299123833
599,0.05359205,0.060233033,0.26796025,0.301165167
598.5,0.05361925,0.060648,0.26809625,0.30324
598,0.0536596,0.061070167,0.268298,0.305350833
597.5,0.05369155,0.061480967,0.26845775,0.307404833
597,0.05372725,0.061898067,0.26863625,0.309490333
596.5,0.0537651,0.062301967,0.2688255,0.311509833
596,0.0537926,0.062694567,0.268963,0.313472833
595.5,0.0538374,0.0631012,0.269187,0.315506
595,0.05387575,0.063502833,0.26937875,0.317514167
594.5,0.05392425,0.0638973,0.26962125,0.3194865
594,0.0539615,0.064290967,0.2698075,0.321454833
593.5,0.0539945,0.064690933,0.2699725,0.323454667
593,0.05402695,0.0650967,0.27013475,0.3254835
592.5,0.05405965,0.0655039,0.27029825,0.3275195
592,0.0540921,0.065908,0.2704605,0.32954
591.5,0.05413735,0.066307,0.27068675,0.331535
591,0.0541895,0.066722233,0.2709475,0.333611167
590.5,0.05422985,0.067131967,0.27114925,0.335659833
590,0.05428025,0.0675452,0.27140125,0.337726
589.5,0.0543451,0.067950667,0.2717255,0.339753333
589,0.0544021,0.0683557,0.2720105,0.3417785
588.5,0.0544534,0.0687776,0.272267,0.343888
588,0.0544999,0.0691978,0.2724995,0.345989
587.5,0.0545405,0.0696257,0.2727025,0.3481285
587,0.05458265,0.0700451,0.27291325,0.3502255
586.5,0.0546238,0.070485367,0.273119,0.352426833
586,0.0546568,0.070919233,0.273284,0.354596167
585.5,0.0546891,0.071356633,0.2734455,0.356783167
585,0.05472125,0.071802733,0.27360625,0.359013667
584.5,0.0547659,0.072236467,0.2738295,0.361182333
584,0.0548121,0.072679567,0.2740605,0.363397833
583.5,0.05485125,0.073121633,0.27425625,0.365608167
583,0.0548775,0.073563333,0.2743875,0.367816667
582.5,0.05490465,0.0740018,0.27452325,0.370009
582,0.0549355,0.0744268,0.2746775,0.372134
581.5,0.0549635,0.074868767,0.2748175,0.374343833
581,0.05498545,0.075291733,0.27492725,0.376458667
580.5,0.0549989,0.075727733,0.2749945,0.378638667
580,0.05501815,0.0761586,0.27509075,0.380793
579.5,0.0550263,0.076577767,0.2751315,0.382888833
579,0.0550409,0.0769901,0.2752045,0.3849505
578.5,0.05505815,0.0773948,0.27529075,0.386974
578,0.05506975,0.077811333,0.27534875,0.389056667
577.5,0.05507565,0.078205133,0.27537825,0.391025667
577,0.0551076,0.078598633,0.275538,0.392993167
576.5,0.05512255,0.078984267,0.27561275,0.394921333
576,0.055146,0.079363333,0.27573,0.396816667
575.5,0.05517595,0.079735533,0.27587975,0.398677667
575,0.05520635,0.080113167,0.27603175,0.400565833
574.5,0.05522515,0.080469033,0.27612575,0.402345167
574,0.0552581,0.080814733,0.2762905,0.404073667
573.5,0.0552929,0.081155933,0.2764645,0.405779667
573,0.0553068,0.081493333,0.276534,0.407466667
572.5,0.0553452,0.081807967,0.276726,0.409039833
572,0.05537025,0.082121867,0.27685125,0.410609333
571.5,0.05539735,0.0824248,0.27698675,0.412124
571,0.0554312,0.082709533,0.277156,0.413547667
570.5,0.05548275,0.083005667,0.27741375,0.415028333
570,0.05552715,0.083283067,0.27763575,0.416415333
569.5,0.0555787,0.083555167,0.2778935,0.417775833
569,0.05564255,0.083816733,0.27821275,0.419083667
568.5,0.0557059,0.0840798,0.2785295,0.420399
568,0.05578325,0.084334833,0.27891625,0.421674167
567.5,0.055864,0.0845893,0.27932,0.4229465
567,0.0559269,0.084834367,0.2796345,0.424171833
566.5,0.05600835,0.085069267,0.28004175,0.425346333
566,0.0560988,0.085310967,0.280494,0.426554833
565.5,0.0562002,0.085544733,0.281001,0.427723667
565,0.056277,0.0857664,0.281385,0.428832
